         7x15E                    (7x15E.dat)
         v2024-0915
         Simulation Date: 02/05/2025

         AIRFOIL AERO DATA GENERATED USING:  POLARS                        

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       76.72      1.9291      0.8201      0.0673      0.1584       0.046       0.486       0.185      34.496       0.055       0.825       2.438        0.20      51124.    0.0880
       79.92      2.0095      0.7975      0.0540      0.1360       0.040       0.417       0.149      29.630       0.047       0.661       2.276        0.20      51982.    0.0736
       83.12      2.0898      0.7540      0.0405      0.1122       0.033       0.344       0.112      24.448       0.039       0.496       2.069        0.20      52859.    0.0579
       86.32      2.1702      0.6707      0.0269      0.0872       0.025       0.268       0.074      18.992       0.030       0.330       1.772        0.20      53753.    0.0405
       89.51      2.2506      0.4950      0.0134      0.0611       0.018       0.187       0.037      13.309       0.021       0.165       1.261        0.20      54664.    0.0203
       92.71      2.3310      0.0053      0.0001      0.0342       0.010       0.105       0.000       7.451       0.012       0.001       0.013        0.21      55592.    0.0000



         PROP RPM =       7000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1491      0.1709       0.079       0.714       0.559      59.121       0.081       2.486       4.288        0.19      45845.    0.2687
        3.74      0.0805      0.0704      0.1484      0.1699       0.079       0.709       0.557      58.758       0.080       2.476       4.296        0.19      45961.    0.2687
        7.47      0.1610      0.1408      0.1482      0.1694       0.079       0.708       0.555      58.606       0.080       2.471       4.299        0.19      46110.    0.2686
       11.21      0.2415      0.2109      0.1482      0.1698       0.079       0.709       0.556      58.734       0.080       2.472       4.292        0.19      46294.    0.2682
       14.94      0.3220      0.2799      0.1487      0.1711       0.079       0.715       0.558      59.202       0.081       2.480       4.272        0.20      46519.    0.2674
       18.68      0.4025      0.3469      0.1496      0.1736       0.081       0.725       0.561      60.061       0.082       2.495       4.236        0.20      46785.    0.2659
       22.41      0.4830      0.4108      0.1508      0.1773       0.082       0.741       0.566      61.343       0.084       2.515       4.181        0.20      47095.    0.2636
       26.15      0.5635      0.4709      0.1523      0.1823       0.085       0.762       0.571      63.070       0.086       2.541       4.108        0.20      47450.    0.2602
       29.88      0.6440      0.5260      0.1540      0.1886       0.087       0.788       0.578      65.244       0.089       2.569       4.015        0.20      47849.    0.2558
       33.62      0.7245      0.5757      0.1559      0.1961       0.091       0.819       0.584      67.852       0.093       2.599       3.906        0.20      48293.    0.2503
       37.35      0.8050      0.6196      0.1576      0.2048       0.095       0.856       0.591      70.857       0.097       2.629       3.783        0.20      48781.    0.2438
       41.09      0.8855      0.6575      0.1592      0.2145       0.099       0.896       0.597      74.194       0.101       2.656       3.650        0.20      49313.    0.2364
       44.83      0.9660      0.6896      0.1604      0.2248       0.104       0.939       0.602      77.750       0.106       2.676       3.509        0.20      49887.    0.2282
       48.56      1.0465      0.7164      0.1610      0.2351       0.109       0.982       0.603      81.333       0.111       2.684       3.365        0.20      50503.    0.2191
       52.30      1.1270      0.7386      0.1603      0.2446       0.113       1.022       0.601      84.625       0.115       2.674       3.222        0.21      51160.    0.2094
       56.03      1.2075      0.7573      0.1580      0.2520       0.117       1.052       0.592      87.158       0.119       2.635       3.083        0.21      51858.    0.1989
       59.77      1.2880      0.7738      0.1536      0.2556       0.119       1.068       0.576      88.424       0.121       2.561       2.953        0.21      52596.    0.1878
       63.50      1.3686      0.7891      0.1469      0.2548       0.118       1.064       0.551      88.142       0.120       2.450       2.835        0.21      53372.    0.1763
       67.24      1.4491      0.8033      0.1384      0.2496       0.116       1.043       0.519      86.358       0.118       2.308       2.725        0.21      54185.    0.1645
       70.97      1.5296      0.8160      0.1284      0.2408       0.112       1.006       0.482      83.285       0.114       2.142       2.623        0.22      55030.    0.1526
       74.71      1.6101      0.8266      0.1174      0.2288       0.106       0.955       0.440      79.132       0.108       1.959       2.524        0.22      55906.    0.1404
       78.44      1.6906      0.8344      0.1057      0.2141       0.099       0.894       0.396      74.062       0.101       1.762       2.426        0.22      56811.    0.1280
       82.18      1.7711      0.8383      0.0933      0.1971       0.091       0.823       0.350      68.191       0.093       1.556       2.327        0.22      57743.    0.1154
       85.92      1.8516      0.8369      0.0805      0.1781       0.083       0.744       0.302      61.608       0.084       1.342       2.222        0.23      58700.    0.1023
       89.65      1.9321      0.8277      0.0674      0.1572       0.073       0.657       0.253      54.387       0.074       1.123       2.106        0.23      59681.    0.0887
       93.39      2.0126      0.8066      0.0540      0.1347       0.062       0.563       0.202      46.592       0.064       0.900       1.970        0.23      60685.    0.0743
       97.12      2.0931      0.7652      0.0405      0.1107       0.051       0.462       0.152      38.289       0.052       0.675       1.797        0.23      61710.    0.0587
      100.86      2.1736      0.6846      0.0269      0.0854       0.040       0.357       0.101      29.546       0.040       0.449       1.548        0.24      62756.    0.0412
      104.59      2.2541      0.5107      0.0134      0.0591       0.027       0.247       0.050      20.438       0.028       0.223       1.114        0.24      63822.    0.0209
      108.33      2.3346      0.0015      0.0000      0.0319       0.015       0.133       0.000      11.049       0.015       0.000       0.003        0.24      64906.    0.0000



         PROP RPM =       8000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1492      0.1702       0.118       0.929       0.730      87.911       0.105       3.249       3.769        0.22      52395.    0.2700
        4.27      0.0806      0.0708      0.1485      0.1692       0.117       0.923       0.727      87.367       0.104       3.235       3.776        0.22      52527.    0.2700
        8.55      0.1612      0.1416      0.1483      0.1687       0.117       0.921       0.726      87.138       0.104       3.229       3.779        0.22      52697.    0.2699
       12.82      0.2418      0.2121      0.1484      0.1691       0.117       0.923       0.727      87.327       0.104       3.232       3.773        0.22      52908.    0.2696
       17.10      0.3224      0.2815      0.1489      0.1705       0.118       0.930       0.729      88.026       0.105       3.242       3.756        0.22      53165.    0.2688
       21.37      0.4030      0.3489      0.1498      0.1730       0.120       0.944       0.733      89.309       0.107       3.262       3.724        0.22      53470.    0.2673
       25.64      0.4836      0.4133      0.1510      0.1767       0.122       0.964       0.739      91.227       0.109       3.289       3.676        0.22      53825.    0.2650
       29.92      0.5642      0.4736      0.1525      0.1817       0.126       0.991       0.747      93.811       0.112       3.322       3.611        0.23      54231.    0.2616
       34.19      0.6448      0.5291      0.1543      0.1880       0.130       1.026       0.755      97.065       0.116       3.360       3.530        0.23      54689.    0.2572
       38.47      0.7253      0.5790      0.1561      0.1955       0.135       1.067       0.764     100.970       0.121       3.400       3.434        0.23      55197.    0.2516
       42.74      0.8059      0.6231      0.1579      0.2043       0.141       1.114       0.773     105.471       0.126       3.439       3.325        0.23      55756.    0.2451
       47.01      0.8865      0.6611      0.1595      0.2139       0.148       1.167       0.781     110.472       0.132       3.475       3.208        0.23      56365.    0.2376
       51.29      0.9671      0.6933      0.1608      0.2243       0.155       1.224       0.787     115.804       0.138       3.502       3.084        0.23      57023.    0.2293
       55.56      1.0477      0.7201      0.1613      0.2347       0.163       1.280       0.790     121.182       0.145       3.513       2.956        0.23      57728.    0.2202
       59.84      1.1283      0.7423      0.1607      0.2443       0.169       1.333       0.787     126.128       0.151       3.500       2.830        0.24      58481.    0.2104
       64.11      1.2089      0.7609      0.1584      0.2516       0.174       1.373       0.776     129.942       0.155       3.450       2.707        0.24      59280.    0.1999
       68.38      1.2895      0.7774      0.1540      0.2554       0.177       1.393       0.754     131.862       0.157       3.353       2.593        0.24      60125.    0.1887
       72.66      1.3701      0.7927      0.1473      0.2546       0.176       1.389       0.721     131.461       0.157       3.208       2.489        0.24      61014.    0.1772
       76.93      1.4507      0.8069      0.1387      0.2494       0.173       1.361       0.679     128.805       0.154       3.022       2.393        0.24      61944.    0.1653
       81.20      1.5313      0.8197      0.1288      0.2405       0.167       1.312       0.631     124.208       0.148       2.805       2.303        0.25      62912.    0.1533
       85.48      1.6119      0.8305      0.1177      0.2285       0.158       1.247       0.577     117.986       0.141       2.564       2.216        0.25      63915.    0.1411
       89.75      1.6925      0.8386      0.1059      0.2138       0.148       1.166       0.519     110.379       0.132       2.307       2.131        0.25      64952.    0.1287
       94.03      1.7731      0.8430      0.0935      0.1967       0.136       1.073       0.458     101.563       0.121       2.037       2.045        0.26      66018.    0.1160
       98.30      1.8537      0.8423      0.0807      0.1775       0.123       0.969       0.395      91.671       0.109       1.757       1.954        0.26      67114.    0.1030
      102.57      1.9343      0.8341      0.0675      0.1565       0.108       0.854       0.330      80.813       0.096       1.470       1.855        0.26      68237.    0.0894
      106.85      2.0149      0.8144      0.0541      0.1338       0.093       0.730       0.265      69.087       0.082       1.178       1.739        0.26      69387.    0.0750
      111.12      2.0954      0.7749      0.0405      0.1096       0.076       0.598       0.198      56.592       0.068       0.883       1.591        0.27      70561.    0.0594
      115.40      2.1760      0.6969      0.0269      0.0841       0.058       0.459       0.132      43.430       0.052       0.587       1.378        0.27      71758.    0.0419
      119.67      2.2566      0.5253      0.0134      0.0575       0.040       0.314       0.066      29.716       0.035       0.292       1.001        0.27      72978.    0.0215
      123.94      2.3372      0.0011      0.0000      0.0302       0.021       0.165       0.000      15.579       0.019       0.000       0.002        0.28      74219.    0.0000



         PROP RPM =       9000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1492      0.1698       0.167       1.172       0.925     124.823       0.132       4.114       3.361        0.25      58944.    0.2709
        4.81      0.0807      0.0711      0.1486      0.1687       0.166       1.165       0.921     124.043       0.132       4.097       3.368        0.25      59093.    0.2709
        9.63      0.1613      0.1422      0.1483      0.1683       0.166       1.162       0.919     123.712       0.131       4.089       3.371        0.25      59284.    0.2709
       14.44      0.2420      0.2131      0.1485      0.1686       0.166       1.164       0.920     123.978       0.132       4.093       3.366        0.25      59522.    0.2707
       19.25      0.3227      0.2828      0.1490      0.1700       0.168       1.174       0.923     124.971       0.133       4.107       3.351        0.25      59812.    0.2699
       24.06      0.4033      0.3505      0.1499      0.1725       0.170       1.191       0.929     126.798       0.135       4.132       3.323        0.25      60156.    0.2684
       28.88      0.4840      0.4152      0.1511      0.1762       0.174       1.216       0.937     129.532       0.137       4.166       3.280        0.25      60556.    0.2661
       33.69      0.5647      0.4758      0.1527      0.1812       0.179       1.251       0.946     133.216       0.141       4.209       3.222        0.25      61013.    0.2627
       38.50      0.6453      0.5315      0.1544      0.1875       0.185       1.295       0.957     137.858       0.146       4.257       3.149        0.26      61529.    0.2582
       43.31      0.7260      0.5816      0.1563      0.1951       0.192       1.347       0.969     143.431       0.152       4.309       3.063        0.26      62102.    0.2527
       48.13      0.8067      0.6258      0.1581      0.2038       0.201       1.407       0.980     149.859       0.159       4.359       2.966        0.26      62731.    0.2461
       52.94      0.8874      0.6640      0.1598      0.2135       0.211       1.474       0.990     157.005       0.167       4.405       2.861        0.26      63417.    0.2387
       57.75      0.9680      0.6962      0.1611      0.2239       0.221       1.546       0.998     164.630       0.175       4.440       2.750        0.26      64159.    0.2303
       62.56      1.0487      0.7231      0.1616      0.2344       0.231       1.618       1.002     172.330       0.183       4.455       2.636        0.26      64953.    0.2212
       67.38      1.1294      0.7453      0.1610      0.2440       0.241       1.685       0.998     179.424       0.190       4.440       2.523        0.27      65802.    0.2113
       72.19      1.2100      0.7639      0.1588      0.2515       0.248       1.737       0.984     184.912       0.196       4.377       2.414        0.27      66702.    0.2007
       77.00      1.2907      0.7804      0.1544      0.2553       0.252       1.763       0.957     187.704       0.199       4.255       2.312        0.27      67654.    0.1895
       81.81      1.3714      0.7956      0.1477      0.2546       0.251       1.758       0.915     187.177       0.199       4.072       2.218        0.27      68656.    0.1779
       86.63      1.4520      0.8099      0.1391      0.2495       0.246       1.723       0.862     183.417       0.195       3.836       2.133        0.28      69704.    0.1660
       91.44      1.5327      0.8228      0.1291      0.2406       0.237       1.661       0.800     176.868       0.188       3.560       2.052        0.28      70795.    0.1539
       96.25      1.6134      0.8337      0.1181      0.2285       0.225       1.578       0.732     167.982       0.178       3.255       1.976        0.28      71925.    0.1417
      101.06      1.6940      0.8421      0.1062      0.2137       0.211       1.475       0.658     157.102       0.167       2.928       1.901        0.28      73093.    0.1293
      105.88      1.7747      0.8469      0.0938      0.1965       0.194       1.357       0.581     144.479       0.153       2.585       1.825        0.29      74295.    0.1166
      110.69      1.8554      0.8468      0.0809      0.1772       0.175       1.224       0.501     130.305       0.138       2.230       1.745        0.29      75530.    0.1036
      115.50      1.9360      0.8395      0.0677      0.1561       0.154       1.078       0.419     114.736       0.122       1.865       1.658        0.29      76795.    0.0900
      120.32      2.0167      0.8211      0.0542      0.1332       0.131       0.920       0.336      97.915       0.104       1.495       1.557        0.30      78090.    0.0756
      125.13      2.0974      0.7834      0.0406      0.1088       0.107       0.751       0.252      79.982       0.085       1.120       1.428        0.30      79413.    0.0601
      129.94      2.1781      0.7078      0.0270      0.0831       0.082       0.574       0.167      61.085       0.065       0.744       1.243        0.30      80762.    0.0426
      134.75      2.2587      0.5385      0.0134      0.0563       0.056       0.389       0.083      41.391       0.044       0.370       0.912        0.31      82136.    0.0220
      139.57      2.3394      0.0005      0.0000      0.0287       0.028       0.198       0.000      21.087       0.022       0.000       0.001        0.31      83534.    0.0000



         PROP RPM =      10000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1493      0.1694       0.229       1.444       1.142     170.896       0.163       5.081       3.032        0.28      65493.    0.2716
        5.35      0.0807      0.0713      0.1487      0.1684       0.228       1.435       1.138     169.817       0.162       5.060       3.039        0.28      65659.    0.2717
       10.70      0.1615      0.1427      0.1484      0.1679       0.227       1.431       1.136     169.355       0.162       5.051       3.041        0.28      65872.    0.2717
       16.05      0.2422      0.2138      0.1485      0.1683       0.228       1.434       1.137     169.712       0.162       5.055       3.038        0.28      66136.    0.2714
       21.41      0.3229      0.2838      0.1491      0.1696       0.229       1.446       1.141     171.070       0.163       5.073       3.024        0.28      66458.    0.2707
       26.76      0.4036      0.3518      0.1500      0.1721       0.233       1.467       1.148     173.572       0.166       5.104       2.999        0.28      66841.    0.2693
       32.11      0.4844      0.4167      0.1513      0.1758       0.238       1.499       1.157     177.323       0.169       5.148       2.960        0.28      67286.    0.2669
       37.46      0.5651      0.4775      0.1528      0.1808       0.245       1.542       1.169     182.380       0.174       5.201       2.908        0.28      67795.    0.2636
       42.81      0.6458      0.5334      0.1546      0.1872       0.253       1.595       1.183     188.757       0.180       5.261       2.842        0.28      68368.    0.2591
       48.16      0.7265      0.5837      0.1565      0.1948       0.263       1.660       1.197     196.416       0.188       5.325       2.765        0.28      69006.    0.2536
       53.51      0.8073      0.6280      0.1583      0.2035       0.275       1.735       1.211     205.256       0.196       5.389       2.677        0.29      69707.    0.2470
       58.86      0.8880      0.6663      0.1600      0.2133       0.288       1.818       1.224     215.089       0.205       5.446       2.582        0.29      70470.    0.2395
       64.22      0.9687      0.6986      0.1613      0.2237       0.303       1.907       1.234     225.593       0.215       5.490       2.482        0.29      71294.    0.2311
       69.57      1.0495      0.7255      0.1619      0.2342       0.317       1.997       1.239     236.214       0.226       5.511       2.379        0.29      72179.    0.2220
       74.92      1.1302      0.7477      0.1614      0.2439       0.330       2.079       1.235     246.022       0.235       5.493       2.277        0.30      73122.    0.2121
       80.27      1.2109      0.7663      0.1592      0.2515       0.340       2.144       1.218     253.647       0.242       5.417       2.178        0.30      74124.    0.2014
       85.62      1.2916      0.7828      0.1548      0.2554       0.345       2.177       1.184     257.578       0.246       5.268       2.085        0.30      75183.    0.1902
       90.97      1.3724      0.7980      0.1481      0.2548       0.345       2.172       1.134     256.939       0.245       5.042       2.001        0.30      76297.    0.1786
       96.32      1.4531      0.8123      0.1396      0.2497       0.338       2.129       1.068     251.830       0.240       4.751       1.924        0.31      77464.    0.1666
      101.67      1.5338      0.8253      0.1296      0.2408       0.326       2.053       0.991     242.856       0.232       4.409       1.851        0.31      78677.    0.1545
      107.03      1.6146      0.8364      0.1185      0.2287       0.309       1.949       0.906     230.639       0.220       4.032       1.783        0.31      79935.    0.1423
      112.38      1.6953      0.8450      0.1066      0.2138       0.289       1.823       0.816     215.655       0.206       3.627       1.715        0.32      81234.    0.1298
      117.73      1.7760      0.8502      0.0941      0.1966       0.266       1.676       0.720     198.249       0.189       3.203       1.647        0.32      82571.    0.1172
      123.08      1.8567      0.8507      0.0812      0.1772       0.240       1.510       0.621     178.686       0.171       2.763       1.577        0.32      83945.    0.1042
      128.43      1.9375      0.8442      0.0679      0.1559       0.211       1.329       0.520     157.184       0.150       2.311       1.499        0.33      85353.    0.0906
      133.78      2.0182      0.8269      0.0544      0.1328       0.180       1.132       0.416     133.939       0.128       1.852       1.410        0.33      86793.    0.0763
      139.13      2.0989      0.7909      0.0408      0.1082       0.146       0.923       0.312     109.143       0.104       1.388       1.297        0.33      88264.    0.0607
      144.48      2.1796      0.7176      0.0271      0.0823       0.111       0.702       0.207      83.005       0.079       0.922       1.133        0.34      89765.    0.0432
      149.84      2.2604      0.5508      0.0135      0.0553       0.075       0.471       0.103      55.756       0.053       0.458       0.838        0.34      91294.    0.0226
      155.19      2.3411      0.0007      0.0000      0.0274       0.037       0.234       0.000      27.657       0.026       0.000       0.001        0.35      92849.    0.0000



         PROP RPM =      11000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1493      0.1692       0.305       1.746       1.383     227.187       0.197       6.150       2.761        0.31      72042.    0.2721
        5.89      0.0808      0.0714      0.1487      0.1682       0.303       1.735       1.377     225.736       0.196       6.126       2.767        0.31      72225.    0.2722
       11.78      0.1616      0.1430      0.1485      0.1677       0.302       1.730       1.375     225.108       0.195       6.115       2.770        0.31      72459.    0.2722
       17.67      0.2423      0.2143      0.1486      0.1680       0.302       1.733       1.376     225.572       0.196       6.120       2.767        0.31      72750.    0.2720
       23.56      0.3231      0.2845      0.1491      0.1694       0.305       1.747       1.381     227.370       0.197       6.142       2.755        0.31      73105.    0.2713
       29.45      0.4039      0.3527      0.1501      0.1719       0.309       1.773       1.389     230.693       0.200       6.180       2.732        0.31      73526.    0.2699
       35.34      0.4847      0.4178      0.1514      0.1756       0.316       1.811       1.401     235.681       0.205       6.233       2.697        0.31      74016.    0.2676
       41.23      0.5654      0.4789      0.1529      0.1806       0.325       1.863       1.416     242.413       0.210       6.298       2.649        0.31      74577.    0.2643
       47.12      0.6462      0.5349      0.1547      0.1869       0.336       1.928       1.432     250.908       0.218       6.372       2.590        0.31      75208.    0.2598
       53.01      0.7270      0.5854      0.1566      0.1945       0.350       2.006       1.450     261.116       0.227       6.450       2.519        0.31      75910.    0.2543
       58.90      0.8078      0.6298      0.1585      0.2033       0.366       2.097       1.468     272.907       0.237       6.528       2.439        0.32      76681.    0.2477
       64.79      0.8885      0.6681      0.1602      0.2131       0.384       2.198       1.483     286.034       0.248       6.598       2.352        0.32      77522.    0.2402
       70.68      0.9693      0.7006      0.1616      0.2235       0.402       2.306       1.496     300.073       0.260       6.653       2.261        0.32      78430.    0.2318
       76.57      1.0501      0.7275      0.1622      0.2341       0.421       2.415       1.502     314.292       0.273       6.680       2.167        0.32      79403.    0.2226
       82.46      1.1309      0.7497      0.1617      0.2439       0.439       2.516       1.497     327.461       0.284       6.660       2.074        0.32      80442.    0.2127
       88.35      1.2116      0.7683      0.1596      0.2516       0.453       2.595       1.477     337.756       0.293       6.571       1.984        0.33      81545.    0.2021
       94.24      1.2924      0.7848      0.1552      0.2556       0.460       2.637       1.437     343.149       0.298       6.392       1.900        0.33      82711.    0.1909
      100.13      1.3732      0.8000      0.1486      0.2551       0.459       2.631       1.376     342.438       0.297       6.120       1.822        0.33      83939.    0.1792
      106.02      1.4540      0.8143      0.1401      0.2501       0.450       2.580       1.297     335.725       0.291       5.768       1.752        0.34      85223.    0.1672
      111.91      1.5347      0.8273      0.1300      0.2412       0.434       2.488       1.204     323.810       0.281       5.355       1.686        0.34      86559.    0.1551
      117.80      1.6155      0.8386      0.1189      0.2291       0.412       2.363       1.101     307.524       0.267       4.897       1.624        0.34      87944.    0.1428
      123.69      1.6963      0.8475      0.1070      0.2142       0.386       2.209       0.991     287.507       0.250       4.407       1.563        0.35      89374.    0.1304
      129.58      1.7771      0.8531      0.0945      0.1968       0.354       2.030       0.875     264.224       0.229       3.891       1.502        0.35      90847.    0.1177
      135.47      1.8578      0.8541      0.0815      0.1773       0.319       1.829       0.755     238.029       0.207       3.357       1.438        0.35      92360.    0.1047
      141.36      1.9386      0.8484      0.0682      0.1559       0.281       1.608       0.631     209.215       0.182       2.809       1.369        0.36      93910.    0.0912
      147.25      2.0194      0.8321      0.0547      0.1326       0.239       1.368       0.506     178.043       0.155       2.251       1.289        0.36      95496.    0.0769
      153.14      2.1002      0.7977      0.0410      0.1078       0.194       1.112       0.379     144.775       0.126       1.687       1.188        0.37      97116.    0.0613
      159.03      2.1809      0.7266      0.0272      0.0817       0.147       0.843       0.252     109.689       0.095       1.121       1.042        0.37      98768.    0.0439
      164.92      2.2617      0.5622      0.0135      0.0545       0.098       0.562       0.125      73.097       0.063       0.557       0.778        0.38     100451.    0.0231
      170.81      2.3425      0.0011      0.0000      0.0263       0.047       0.272       0.000      35.354       0.031       0.001       0.002        0.38     102164.    0.0000



         PROP RPM =      12000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1494      0.1691       0.395       2.076       1.646     294.771       0.235       7.322       2.533        0.33      78590.    0.2724
        6.43      0.0808      0.0716      0.1488      0.1680       0.393       2.063       1.640     292.869       0.233       7.293       2.539        0.33      78790.    0.2725
       12.86      0.1616      0.1433      0.1485      0.1676       0.392       2.057       1.637     292.034       0.232       7.280       2.542        0.33      79046.    0.2726
       19.29      0.2424      0.2147      0.1487      0.1679       0.392       2.061       1.638     292.618       0.233       7.287       2.539        0.33      79364.    0.2724
       25.71      0.3233      0.2850      0.1492      0.1692       0.396       2.077       1.644     294.935       0.235       7.313       2.528        0.33      79751.    0.2718
       32.14      0.4041      0.3534      0.1502      0.1717       0.401       2.108       1.654     299.237       0.238       7.359       2.508        0.34      80211.    0.2704
       38.57      0.4849      0.4187      0.1515      0.1754       0.410       2.153       1.669     305.703       0.243       7.423       2.476        0.34      80746.    0.2681
       45.00      0.5657      0.4798      0.1530      0.1804       0.422       2.215       1.686     314.439       0.250       7.500       2.432        0.34      81358.    0.2648
       51.43      0.6465      0.5361      0.1548      0.1868       0.436       2.292       1.706     325.471       0.259       7.589       2.378        0.34      82047.    0.2603
       57.86      0.7273      0.5866      0.1568      0.1944       0.454       2.386       1.727     338.739       0.270       7.683       2.313        0.34      82814.    0.2548
       64.28      0.8081      0.6312      0.1587      0.2032       0.475       2.494       1.748     354.074       0.282       7.777       2.240        0.34      83656.    0.2482
       70.71      0.8890      0.6696      0.1604      0.2130       0.498       2.614       1.768     371.166       0.295       7.863       2.160        0.35      84574.    0.2407
       77.14      0.9698      0.7021      0.1618      0.2235       0.522       2.743       1.783     389.467       0.310       7.930       2.076        0.35      85565.    0.2324
       83.57      1.0506      0.7291      0.1625      0.2341       0.547       2.874       1.790     408.039       0.325       7.964       1.990        0.35      86628.    0.2232
       90.00      1.1314      0.7514      0.1621      0.2440       0.570       2.996       1.786     425.297       0.338       7.943       1.904        0.35      87762.    0.2133
       96.43      1.2122      0.7700      0.1600      0.2518       0.589       3.091       1.762     438.877       0.349       7.839       1.821        0.36      88966.    0.2027
      102.85      1.2930      0.7864      0.1557      0.2560       0.598       3.142       1.715     446.123       0.355       7.630       1.744        0.36      90239.    0.1915
      109.28      1.3738      0.8016      0.1491      0.2556       0.597       3.137       1.643     445.418       0.354       7.309       1.673        0.36      91579.    0.1798
      115.71      1.4547      0.8159      0.1406      0.2507       0.586       3.077       1.549     436.847       0.348       6.891       1.608        0.37      92981.    0.1678
      122.14      1.5355      0.8291      0.1306      0.2418       0.565       2.968       1.439     421.435       0.335       6.399       1.548        0.37      94440.    0.1557
      128.57      1.6163      0.8405      0.1194      0.2297       0.537       2.819       1.316     400.272       0.319       5.853       1.491        0.37      95953.    0.1434
      135.00      1.6971      0.8496      0.1075      0.2147       0.502       2.636       1.184     374.197       0.298       5.268       1.436        0.38      97514.    0.1310
      141.42      1.7779      0.8555      0.0949      0.1973       0.461       2.422       1.046     343.820       0.274       4.653       1.380        0.38      99122.    0.1183
      147.85      1.8587      0.8570      0.0819      0.1777       0.415       2.181       0.903     309.607       0.246       4.014       1.322        0.39     100774.    0.1053
      154.28      1.9395      0.8520      0.0685      0.1560       0.365       1.915       0.755     271.939       0.216       3.359       1.260        0.39     102466.    0.0918
      160.71      2.0204      0.8368      0.0549      0.1326       0.310       1.628       0.605     231.159       0.184       2.693       1.188        0.40     104198.    0.0775
      167.14      2.1012      0.8038      0.0412      0.1077       0.252       1.321       0.454     187.610       0.149       2.018       1.097        0.40     105967.    0.0619
      173.57      2.1820      0.7348      0.0274      0.0813       0.190       0.998       0.302     141.656       0.113       1.342       0.966        0.41     107771.    0.0445
      180.00      2.2628      0.5729      0.0136      0.0538       0.126       0.660       0.150      93.709       0.075       0.667       0.726        0.41     109608.    0.0236
      186.42      2.3436      0.0017      0.0000      0.0254       0.059       0.312       0.000      44.238       0.035       0.001       0.002        0.42     111478.    0.0000



         PROP RPM =      13000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1495      0.1691       0.503       2.437       1.933     374.749       0.275       8.596       2.339        0.36      85139.    0.2726
        6.97      0.0808      0.0716      0.1489      0.1680       0.499       2.421       1.925     372.303       0.273       8.562       2.345        0.36      85356.    0.2727
       13.93      0.1617      0.1434      0.1486      0.1675       0.498       2.414       1.922     371.213       0.273       8.547       2.348        0.36      85633.    0.2728
       20.90      0.2425      0.2149      0.1487      0.1679       0.499       2.418       1.923     371.930       0.273       8.555       2.346        0.36      85978.    0.2727
       27.87      0.3234      0.2854      0.1493      0.1692       0.503       2.437       1.930     374.851       0.275       8.587       2.336        0.36      86397.    0.2720
