         7x15E                    (7x15E.dat)
         v2024-0915
         Simulation Date: 02/05/2025

         AIRFOIL AERO DATA GENERATED USING:  POLARS                        

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       10.50      0.7918      0.5716      0.1546      0.2142       0.002       0.073       0.047       1.728       0.008       0.210      12.419        0.06      13914.    0.2265
       11.55      0.8710      0.6081      0.1560      0.2234       0.002       0.076       0.048       1.803       0.009       0.212      12.013        0.06      14061.    0.2200
       12.60      0.9502      0.6396      0.1570      0.2333       0.003       0.080       0.048       1.882       0.009       0.214      11.582        0.06      14220.    0.2128
       13.65      1.0294      0.6663      0.1574      0.2432       0.003       0.083       0.048       1.962       0.009       0.214      11.137        0.06      14391.    0.2049
       14.70      1.1085      0.6887      0.1569      0.2525       0.003       0.086       0.048       2.037       0.010       0.214      10.690        0.06      14573.    0.1963
       15.75      1.1877      0.7078      0.1548      0.2598       0.003       0.089       0.047       2.096       0.010       0.211      10.254        0.06      14767.    0.1871
       16.80      1.2669      0.7247      0.1509      0.2637       0.003       0.090       0.046       2.128       0.010       0.205       9.842        0.06      14971.    0.1773
       17.85      1.3461      0.7402      0.1448      0.2634       0.003       0.090       0.044       2.125       0.010       0.197       9.461        0.06      15187.    0.1670
       18.90      1.4253      0.7542      0.1369      0.2588       0.003       0.088       0.042       2.088       0.010       0.186       9.105        0.06      15412.    0.1562
       19.95      1.5044      0.7662      0.1276      0.2505       0.003       0.085       0.039       2.021       0.010       0.174       8.763        0.06      15647.    0.1451
       20.99      1.5836      0.7753      0.1171      0.2392       0.003       0.082       0.036       1.930       0.009       0.159       8.424        0.06      15890.    0.1337
