         5x11E                    (5x11E.dat)
         v2024-0915
         Simulation Date: 01/09/2025

         AIRFOIL AERO DATA GENERATED USING:  POLARS                        

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
        0.00      0.0000      0.0000      0.1541      0.2200       0.000       0.014       0.012       0.330       0.002       0.055      16.873        0.04       7296.    0.2194
        0.77      0.0816      0.0573      0.1532      0.2183       0.000       0.014       0.012       0.327       0.002       0.054      16.901        0.04       7314.    0.2191
        1.55      0.1633      0.1146      0.1525      0.2172       0.000       0.014       0.012       0.326       0.002       0.054      16.914        0.04       7338.    0.2188
        2.32      0.2449      0.1718      0.1522      0.2169       0.000       0.014       0.012       0.325       0.002       0.054      16.903        0.04       7368.    0.2184
        3.09      0.3265      0.2285      0.1523      0.2177       0.000       0.014       0.012       0.327       0.002       0.054      16.853        0.04       7404.    0.2179
        3.87      0.4082      0.2839      0.1528      0.2197       0.000       0.014       0.012       0.330       0.002       0.054      16.756        0.04       7447.    0.2170
        4.64      0.4898      0.3376      0.1536      0.2229       0.000       0.014       0.012       0.334       0.002       0.054      16.602        0.04       7497.    0.2155
        5.41      0.5714      0.3887      0.1548      0.2275       0.000       0.014       0.012       0.341       0.002       0.055      16.386        0.04       7554.    0.2135
        6.18      0.6531      0.4367      0.1561      0.2335       0.000       0.015       0.012       0.350       0.002       0.055      16.107        0.04       7619.    0.2108
        6.96      0.7347      0.4810      0.1576      0.2407       0.000       0.015       0.013       0.361       0.002       0.056      15.769        0.04       7690.    0.2074
        7.73      0.8163      0.5211      0.1590      0.2491       0.001       0.016       0.013       0.374       0.002       0.056      15.377        0.04       7769.    0.2031
        8.50      0.8980      0.5570      0.1603      0.2584       0.001       0.016       0.013       0.388       0.002       0.057      14.941        0.04       7854.    0.1981
        9.28      0.9796      0.5885      0.1612      0.2683       0.001       0.017       0.013       0.403       0.002       0.057      14.471        0.04       7947.    0.1924
       10.05      1.0612      0.6158      0.1614      0.2782       0.001       0.018       0.013       0.417       0.002       0.057      13.978        0.04       8046.    0.1860
       10.82      1.1429      0.6394      0.1607      0.2873       0.001       0.018       0.013       0.431       0.002       0.057      13.476        0.04       8152.    0.1790
       11.60      1.2245      0.6596      0.1588      0.2948       0.001       0.019       0.013       0.442       0.002       0.056      12.976        0.04       8264.    0.1713
       12.37      1.3061      0.6771      0.1553      0.2996       0.001       0.019       0.012       0.449       0.002       0.055      12.488        0.04       8382.    0.1630
       13.14      1.3878      0.6924      0.1501      0.3009       0.001       0.019       0.012       0.451       0.002       0.053      12.018        0.04       8507.    0.1542
       13.91      1.4694      0.7055      0.1432      0.2982       0.001       0.019       0.011       0.447       0.002       0.051      11.565        0.04       8637.    0.1449
       14.69      1.5510      0.7161      0.1346      0.2916       0.001       0.018       0.011       0.437       0.002       0.048      11.122        0.04       8772.    0.1352
       15.46      1.6327      0.7236      0.1247      0.2813       0.001       0.018       0.010       0.422       0.002       0.044      10.675        0.04       8913.    0.1249
       16.23      1.7143      0.7266      0.1136      0.2679       0.001       0.017       0.009       0.402       0.002       0.040      10.209        0.05       9058.    0.1140
       17.01      1.7959      0.7236      0.1015      0.2519       0.001       0.016       0.008       0.378       0.002       0.036       9.705        0.05       9208.    0.1024
       17.78      1.8776      0.7125      0.0886      0.2335       0.000       0.015       0.007       0.350       0.002       0.031       9.141        0.05       9361.    0.0901
       18.55      1.9592      0.6902      0.0751      0.2132       0.000       0.014       0.006       0.320       0.002       0.027       8.486        0.05       9519.    0.0770
       19.33      2.0408      0.6521      0.0611      0.1913       0.000       0.012       0.005       0.287       0.001       0.022       7.697        0.05       9680.    0.0630
       20.10      2.1225      0.5911      0.0468      0.1679       0.000       0.011       0.004       0.252       0.001       0.017       6.708        0.05       9845.    0.0481
       20.87      2.2041      0.4944      0.0322      0.1434       0.000       0.009       0.003       0.215       0.001       0.011       5.403        0.05      10013.    0.0321
       21.65      2.2857      0.3384      0.0175      0.1180       0.000       0.007       0.001       0.177       0.001       0.006       3.566        0.05      10184.    0.0156
       22.42      2.3674      0.0718      0.0028      0.0919       0.000       0.006       0.000       0.138       0.001       0.001       0.730        0.05      10357.    0.0013



         PROP RPM =       3000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1547      0.2129       0.001       0.030       0.028       1.078       0.003       0.123      11.667        0.06      10943.    0.2280
        1.17      0.0826      0.0602      0.1538      0.2112       0.001       0.030       0.028       1.069       0.003       0.123      11.695        0.06      10972.    0.2279
        2.35      0.1653      0.1206      0.1532      0.2101       0.001       0.030       0.027       1.064       0.003       0.122      11.712        0.06      11008.    0.2278
        3.52      0.2479      0.1808      0.1530      0.2099       0.001       0.030       0.027       1.063       0.003       0.122      11.710        0.06      11054.    0.2276
        4.70      0.3306      0.2404      0.1533      0.2107       0.001       0.030       0.027       1.067       0.003       0.122      11.680        0.06      11110.    0.2272
        5.87      0.4132      0.2988      0.1539      0.2128       0.001       0.030       0.028       1.077       0.003       0.123      11.612        0.06      11175.    0.2263
        7.04      0.4959      0.3552      0.1549      0.2162       0.001       0.031       0.028       1.095       0.003       0.123      11.502        0.06      11252.    0.2249
        8.22      0.5785      0.4088      0.1561      0.2210       0.002       0.032       0.028       1.119       0.004       0.125      11.346        0.06      11340.    0.2228
        9.39      0.6612      0.4588      0.1576      0.2272       0.002       0.032       0.028       1.150       0.004       0.126      11.144        0.06      11438.    0.2198
       10.57      0.7438      0.5048      0.1593      0.2347       0.002       0.033       0.029       1.188       0.004       0.127      10.897        0.06      11548.    0.2161
       11.74      0.8265      0.5462      0.1608      0.2434       0.002       0.035       0.029       1.232       0.004       0.128      10.613        0.06      11669.    0.2115
       12.91      0.9091      0.5829      0.1622      0.2530       0.002       0.036       0.029       1.281       0.004       0.129      10.297        0.06      11800.    0.2060
       14.09      0.9918      0.6150      0.1631      0.2631       0.002       0.038       0.029       1.332       0.004       0.130       9.958        0.06      11942.    0.1998
       15.26      1.0744      0.6426      0.1634      0.2731       0.002       0.039       0.029       1.383       0.004       0.130       9.605        0.06      12094.    0.1929
       16.44      1.1571      0.6663      0.1626      0.2823       0.002       0.040       0.029       1.429       0.005       0.130       9.247        0.06      12256.    0.1852
       17.61      1.2397      0.6865      0.1604      0.2896       0.002       0.041       0.029       1.467       0.005       0.128       8.892        0.06      12428.    0.1769
       18.78      1.3224      0.7039      0.1566      0.2941       0.002       0.042       0.028       1.489       0.005       0.125       8.548        0.06      12610.    0.1681
       19.96      1.4050      0.7192      0.1509      0.2949       0.002       0.042       0.027       1.493       0.005       0.120       8.219        0.07      12801.    0.1587
       21.13      1.4877      0.7323      0.1435      0.2916       0.002       0.042       0.026       1.476       0.005       0.114       7.905        0.07      13000.    0.1488
       22.31      1.5703      0.7431      0.1345      0.2842       0.002       0.041       0.024       1.439       0.005       0.107       7.600        0.07      13208.    0.1385
       23.48      1.6530      0.7509      0.1241      0.2733       0.002       0.039       0.022       1.384       0.004       0.099       7.295        0.07      13423.    0.1277
       24.65      1.7356      0.7544      0.1126      0.2591       0.002       0.037       0.020       1.312       0.004       0.090       6.980        0.07      13645.    0.1164
       25.83      1.8183      0.7521      0.1002      0.2423       0.002       0.035       0.018       1.227       0.004       0.080       6.643        0.07      13874.    0.1045
       27.00      1.9009      0.7420      0.0871      0.2231       0.002       0.032       0.016       1.129       0.004       0.069       6.268        0.07      14109.    0.0919
       28.18      1.9836      0.7209      0.0734      0.2019       0.001       0.029       0.013       1.022       0.003       0.059       5.836        0.07      14350.    0.0786
       29.35      2.0662      0.6839      0.0593      0.1791       0.001       0.026       0.011       0.907       0.003       0.047       5.315        0.07      14596.    0.0643
       30.52      2.1489      0.6229      0.0449      0.1548       0.001       0.022       0.008       0.784       0.002       0.036       4.655        0.07      14848.    0.0490
       31.70      2.2315      0.5230      0.0303      0.1293       0.001       0.018       0.005       0.655       0.002       0.024       3.764        0.07      15105.    0.0326
       32.87      2.3142      0.3534      0.0157      0.1029       0.001       0.015       0.003       0.521       0.002       0.013       2.452        0.07      15366.    0.0153
       34.05      2.3968      0.0391      0.0012      0.0759       0.001       0.011       0.000       0.385       0.001       0.001       0.262        0.07      15631.    0.0005



         PROP RPM =       4000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1550      0.2087       0.003       0.053       0.049       2.505       0.006       0.220       8.946        0.08      14591.    0.2334
        1.58      0.0832      0.0620      0.1542      0.2070       0.003       0.052       0.049       2.484       0.006       0.219       8.972        0.08      14630.    0.2334
        3.15      0.1664      0.1242      0.1537      0.2059       0.003       0.052       0.049       2.471       0.006       0.218       8.989        0.08      14679.    0.2334
        4.73      0.2497      0.1864      0.1535      0.2057       0.003       0.052       0.049       2.469       0.006       0.218       8.990        0.08      14740.    0.2334
        6.30      0.3329      0.2479      0.1538      0.2066       0.003       0.052       0.049       2.479       0.006       0.218       8.968        0.08      14815.    0.2330
        7.88      0.4161      0.3081      0.1545      0.2087       0.003       0.053       0.049       2.505       0.006       0.219       8.917        0.08      14904.    0.2322
        9.46      0.4993      0.3661      0.1556      0.2122       0.003       0.054       0.050       2.547       0.006       0.221       8.831        0.08      15007.    0.2308
       11.03      0.5825      0.4212      0.1570      0.2171       0.003       0.055       0.050       2.606       0.006       0.223       8.708        0.08      15125.    0.2286
       12.61      0.6657      0.4725      0.1586      0.2234       0.004       0.057       0.051       2.681       0.006       0.225       8.548        0.08      15259.    0.2255
       14.18      0.7490      0.5194      0.1603      0.2311       0.004       0.059       0.051       2.773       0.007       0.227       8.353        0.08      15407.    0.2215
       15.76      0.8322      0.5616      0.1619      0.2399       0.004       0.061       0.052       2.879       0.007       0.230       8.128        0.08      15570.    0.2167
       17.34      0.9154      0.5989      0.1633      0.2497       0.004       0.063       0.052       2.996       0.007       0.232       7.880        0.08      15747.    0.2110
       18.91      0.9986      0.6312      0.1643      0.2599       0.004       0.066       0.052       3.119       0.007       0.233       7.613        0.08      15939.    0.2044
       20.49      1.0818      0.6590      0.1645      0.2701       0.004       0.068       0.052       3.241       0.008       0.233       7.337        0.08      16144.    0.1971
       22.07      1.1651      0.6827      0.1637      0.2793       0.004       0.071       0.052       3.352       0.008       0.232       7.057        0.08      16363.    0.1891
       23.64      1.2483      0.7028      0.1614      0.2866       0.005       0.073       0.051       3.439       0.008       0.229       6.781        0.09      16595.    0.1805
       25.22      1.3315      0.7203      0.1574      0.2909       0.005       0.074       0.050       3.491       0.008       0.223       6.515        0.09      16841.    0.1712
       26.79      1.4147      0.7355      0.1515      0.2914       0.005       0.074       0.048       3.497       0.008       0.215       6.262        0.09      17098.    0.1615
       28.37      1.4979      0.7488      0.1438      0.2877       0.005       0.073       0.046       3.453       0.008       0.204       6.020        0.09      17367.    0.1513
       29.95      1.5811      0.7598      0.1345      0.2800       0.005       0.071       0.043       3.360       0.008       0.191       5.787        0.09      17647.    0.1406
       31.52      1.6644      0.7678      0.1239      0.2686       0.004       0.068       0.039       3.224       0.008       0.176       5.556        0.09      17938.    0.1296
       33.10      1.7476      0.7719      0.1122      0.2540       0.004       0.064       0.036       3.049       0.007       0.159       5.320        0.09      18237.    0.1180
       34.67      1.8308      0.7704      0.0996      0.2367       0.004       0.060       0.032       2.841       0.007       0.141       5.068        0.09      18546.    0.1060
       36.25      1.9140      0.7615      0.0863      0.2170       0.003       0.055       0.028       2.605       0.006       0.122       4.791        0.09      18863.    0.0933
       37.83      1.9972      0.7418      0.0726      0.1954       0.003       0.050       0.023       2.345       0.006       0.103       4.473        0.09      19187.    0.0798
       39.40      2.0805      0.7065      0.0584      0.1720       0.003       0.044       0.019       2.064       0.005       0.083       4.090        0.10      19519.    0.0655
       40.98      2.1637      0.6471      0.0440      0.1471       0.002       0.037       0.014       1.765       0.004       0.062       3.602        0.10      19858.    0.0501
       42.55      2.2469      0.5471      0.0295      0.1211       0.002       0.031       0.009       1.453       0.003       0.042       2.933        0.10      20204.    0.0334
       44.13      2.3301      0.3711      0.0150      0.0941       0.002       0.024       0.005       1.130       0.003       0.021       1.918        0.10      20555.    0.0156
       45.71      2.4133      0.0236      0.0007      0.0666       0.001       0.017       0.000       0.799       0.002       0.001       0.118        0.10      20913.    0.0002



         PROP RPM =       5000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1553      0.2059       0.006       0.082       0.077       4.826       0.009       0.344       7.266        0.10      18239.    0.2371
        1.98      0.0836      0.0632      0.1545      0.2041       0.006       0.081       0.077       4.785       0.009       0.342       7.290        0.10      18287.    0.2372
        3.96      0.1672      0.1268      0.1540      0.2031       0.006       0.080       0.077       4.760       0.009       0.341       7.306        0.10      18349.    0.2374
        5.94      0.2508      0.1902      0.1539      0.2029       0.006       0.080       0.077       4.756       0.009       0.341       7.308        0.10      18426.    0.2374
        7.92      0.3344      0.2530      0.1542      0.2038       0.006       0.081       0.077       4.777       0.009       0.342       7.292        0.10      18520.    0.2371
        9.89      0.4179      0.3145      0.1550      0.2060       0.006       0.082       0.077       4.828       0.009       0.343       7.250        0.10      18632.    0.2363
       11.87      0.5015      0.3737      0.1561      0.2095       0.007       0.083       0.078       4.911       0.009       0.346       7.179        0.10      18763.    0.2349
       13.85      0.5851      0.4298      0.1575      0.2145       0.007       0.085       0.078       5.028       0.010       0.349       7.077        0.10      18912.    0.2326
       15.83      0.6687      0.4820      0.1592      0.2209       0.007       0.088       0.079       5.178       0.010       0.353       6.944        0.10      19080.    0.2295
       17.81      0.7523      0.5296      0.1610      0.2286       0.007       0.091       0.080       5.359       0.010       0.356       6.783        0.10      19266.    0.2254
       19.79      0.8359      0.5723      0.1627      0.2376       0.007       0.094       0.081       5.569       0.011       0.360       6.597        0.10      19472.    0.2203
       21.77      0.9195      0.6099      0.1641      0.2474       0.008       0.098       0.082       5.800       0.011       0.364       6.391        0.10      19695.    0.2144
       23.75      1.0031      0.6425      0.1651      0.2578       0.008       0.102       0.082       6.043       0.012       0.366       6.172        0.10      19937.    0.2077
       25.73      1.0867      0.6703      0.1653      0.2680       0.008       0.106       0.082       6.283       0.012       0.366       5.944        0.10      20196.    0.2001
       27.70      1.1702      0.6940      0.1644      0.2773       0.009       0.110       0.082       6.500       0.012       0.364       5.714        0.11      20472.    0.1919
       29.68      1.2538      0.7142      0.1621      0.2845       0.009       0.113       0.081       6.670       0.013       0.359       5.488        0.11      20764.    0.1830
       31.66      1.3374      0.7316      0.1579      0.2887       0.009       0.114       0.079       6.768       0.013       0.350       5.270        0.11      21073.    0.1734
       33.64      1.4210      0.7468      0.1519      0.2891       0.009       0.115       0.076       6.776       0.013       0.336       5.064        0.11      21397.    0.1634
       35.62      1.5046      0.7601      0.1441      0.2852       0.009       0.113       0.072       6.685       0.013       0.319       4.868        0.11      21736.    0.1530
       37.60      1.5882      0.7713      0.1346      0.2772       0.009       0.110       0.067       6.498       0.012       0.298       4.679        0.11      22089.    0.1422
       39.58      1.6718      0.7797      0.1239      0.2656       0.008       0.105       0.062       6.225       0.012       0.274       4.494        0.11      22455.    0.1310
       41.56      1.7554      0.7842      0.1120      0.2507       0.008       0.099       0.056       5.876       0.011       0.248       4.305        0.11      22832.    0.1193
       43.54      1.8390      0.7836      0.0993      0.2331       0.007       0.092       0.049       5.463       0.010       0.220       4.105        0.11      23221.    0.1071
       45.51      1.9225      0.7756      0.0860      0.2131       0.007       0.084       0.043       4.994       0.010       0.190       3.887        0.12      23619.    0.0944
       47.49      2.0061      0.7574      0.0721      0.1910       0.006       0.076       0.036       4.478       0.009       0.160       3.638        0.12      24028.    0.0809
       49.47      2.0897      0.7239      0.0579      0.1672       0.005       0.066       0.029       3.920       0.007       0.128       3.338        0.12      24446.    0.0665
       51.45      2.1733      0.6663      0.0435      0.1420       0.004       0.056       0.022       3.328       0.006       0.096       2.954        0.12      24872.    0.0510
       53.43      2.2569      0.5675      0.0291      0.1156       0.004       0.046       0.014       2.709       0.005       0.064       2.423        0.12      25307.    0.0342
       55.41      2.3405      0.3883      0.0146      0.0882       0.003       0.035       0.007       2.068       0.004       0.032       1.599        0.12      25750.    0.0160
       57.39      2.4241      0.0159      0.0004      0.0603       0.002       0.024       0.000       1.413       0.003       0.001       0.063        0.13      26200.    0.0001



         PROP RPM =       6000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1554      0.2038       0.011       0.116       0.111       8.256       0.013       0.496       6.123        0.12      21887.    0.2399
        2.38      0.0839      0.0642      0.1546      0.2021       0.011       0.115       0.111       8.185       0.013       0.493       6.145        0.12      21945.    0.2401
        4.76      0.1677      0.1286      0.1542      0.2010       0.011       0.115       0.111       8.142       0.013       0.492       6.159        0.12      22019.    0.2403
        7.15      0.2516      0.1931      0.1541      0.2008       0.011       0.115       0.111       8.135       0.013       0.492       6.163        0.12      22113.    0.2404
        9.53      0.3354      0.2569      0.1545      0.2018       0.011       0.115       0.111       8.173       0.013       0.493       6.149        0.12      22226.    0.2402
       11.91      0.4193      0.3192      0.1553      0.2040       0.011       0.116       0.111       8.262       0.013       0.495       6.114        0.12      22361.    0.2394
       14.29      0.5031      0.3793      0.1565      0.2076       0.011       0.118       0.112       8.407       0.013       0.499       6.054        0.12      22518.    0.2380
       16.68      0.5870      0.4362      0.1580      0.2126       0.012       0.121       0.113       8.611       0.014       0.504       5.967        0.12      22698.    0.2357
       19.06      0.6708      0.4890      0.1597      0.2190       0.012       0.125       0.114       8.872       0.014       0.509       5.853        0.12      22901.    0.2324
       21.44      0.7547      0.5372      0.1615      0.2268       0.012       0.129       0.116       9.188       0.015       0.515       5.715        0.12      23126.    0.2282
       23.82      0.8385      0.5803      0.1632      0.2359       0.013       0.135       0.117       9.554       0.015       0.521       5.557        0.12      23374.    0.2231
       26.20      0.9224      0.6181      0.1647      0.2458       0.013       0.140       0.118       9.956       0.016       0.525       5.381        0.12      23644.    0.2170
       28.59      1.0062      0.6509      0.1657      0.2562       0.014       0.146       0.119      10.379       0.017       0.529       5.194        0.12      23935.    0.2101
       30.97      1.0901      0.6788      0.1660      0.2665       0.014       0.152       0.119      10.796       0.017       0.529       5.000        0.13      24248.    0.2024
       33.35      1.1739      0.7024      0.1650      0.2758       0.015       0.157       0.118      11.172       0.018       0.526       4.804        0.13      24581.    0.1940
       35.73      1.2578      0.7226      0.1626      0.2831       0.015       0.162       0.117      11.466       0.018       0.519       4.613        0.13      24934.    0.1848
       38.11      1.3416      0.7399      0.1584      0.2872       0.016       0.164       0.114      11.634       0.019       0.505       4.428        0.13      25307.    0.1751
       40.50      1.4255      0.7552      0.1523      0.2874       0.016       0.164       0.109      11.643       0.019       0.486       4.254        0.13      25698.    0.1650
       42.88      1.5093      0.7686      0.1443      0.2834       0.015       0.162       0.103      11.480       0.018       0.460       4.089        0.13      26107.    0.1544
       45.26      1.5932      0.7800      0.1348      0.2753       0.015       0.157       0.097      11.150       0.018       0.430       3.931        0.13      26533.    0.1434
       47.64      1.6770      0.7886      0.1239      0.2634       0.014       0.150       0.089      10.671       0.017       0.395       3.776        0.13      26974.    0.1321
       50.03      1.7609      0.7936      0.1119      0.2484       0.013       0.142       0.080      10.060       0.016       0.357       3.619        0.14      27429.    0.1203
       52.41      1.8447      0.7936      0.0992      0.2305       0.013       0.132       0.071       9.337       0.015       0.316       3.454        0.14      27897.    0.1081
       54.79      1.9286      0.7866      0.0858      0.2103       0.011       0.120       0.061       8.517       0.014       0.274       3.275        0.14      28378.    0.0953
       57.17      2.0124      0.7696      0.0719      0.1879       0.010       0.107       0.052       7.613       0.012       0.229       3.071        0.14      28871.    0.0818
       59.55      2.0963      0.7378      0.0577      0.1639       0.009       0.094       0.041       6.638       0.011       0.184       2.826        0.14      29375.    0.0674
       61.94      2.1802      0.6822      0.0433      0.1383       0.008       0.079       0.031       5.603       0.009       0.138       2.512        0.14      29889.    0.0519
       64.32      2.2640      0.5851      0.0288      0.1116       0.006       0.064       0.021       4.520       0.007       0.092       2.075        0.15      30413.    0.0350
       66.70      2.3479      0.4045      0.0145      0.0839       0.005       0.048       0.010       3.399       0.005       0.046       1.383        0.15      30947.    0.0165
       69.08      2.4317      0.0127      0.0003      0.0557       0.003       0.032       0.000       2.255       0.004       0.001       0.042        0.15      31490.    0.0001



         PROP RPM =       7000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1556      0.2023       0.017       0.157       0.152      13.009       0.018       0.675       5.294        0.14      25534.    0.2421
        2.79      0.0841      0.0649      0.1548      0.2005       0.017       0.156       0.151      12.897       0.018       0.672       5.313        0.14      25602.    0.2424
        5.57      0.1681      0.1301      0.1544      0.1994       0.017       0.155       0.151      12.828       0.017       0.670       5.327        0.14      25690.    0.2426
        8.36      0.2522      0.1953      0.1543      0.1993       0.017       0.155       0.151      12.817       0.017       0.670       5.331        0.14      25799.    0.2428
       11.14      0.3363      0.2599      0.1548      0.2002       0.017       0.156       0.151      12.878       0.018       0.672       5.319        0.14      25932.    0.2426
       13.93      0.4203      0.3230      0.1556      0.2024       0.017       0.157       0.152      13.022       0.018       0.675       5.289        0.14      26090.    0.2418
       16.72      0.5044      0.3838      0.1568      0.2061       0.018       0.160       0.153      13.254       0.018       0.681       5.236        0.14      26274.    0.2404
