         5x11E                    (5x11E.dat)
         v2024-0915
         Simulation Date: 01/09/2025

         AIRFOIL AERO DATA GENERATED USING:  POLARS                        

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1529      0.2361       0.000       0.004       0.003       0.044       0.000       0.014      31.189        0.02       3648.    0.2020
        0.37      0.0786      0.0509      0.1518      0.2344       0.000       0.004       0.003       0.044       0.000       0.013      31.191        0.02       3657.    0.2012
        0.74      0.1572      0.1017      0.1509      0.2332       0.000       0.004       0.003       0.044       0.000       0.013      31.171        0.02       3668.    0.2006
        1.12      0.2359      0.1523      0.1504      0.2329       0.000       0.004       0.003       0.044       0.000       0.013      31.115        0.02       3682.    0.1998
        1.49      0.3145      0.2024      0.1502      0.2334       0.000       0.004       0.003       0.044       0.000       0.013      31.004        0.02       3699.    0.1990
        1.86      0.3931      0.2515      0.1504      0.2351       0.000       0.004       0.003       0.044       0.000       0.013      30.823        0.02       3719.    0.1980
        2.23      0.4717      0.2992      0.1509      0.2379       0.000       0.004       0.003       0.045       0.000       0.013      30.558        0.02       3743.    0.1966
        2.61      0.5504      0.3450      0.1517      0.2420       0.000       0.004       0.003       0.045       0.000       0.013      30.201        0.02       3770.    0.1948
        2.98      0.6290      0.3884      0.1527      0.2473       0.000       0.004       0.003       0.046       0.000       0.014      29.746        0.02       3800.    0.1925
        3.35      0.7076      0.4288      0.1539      0.2539       0.000       0.004       0.003       0.048       0.000       0.014      29.196        0.02       3833.    0.1897
        3.72      0.7862      0.4661      0.1550      0.2615       0.000       0.004       0.003       0.049       0.000       0.014      28.557        0.02       3870.    0.1862
        4.09      0.8649      0.4998      0.1561      0.2701       0.000       0.004       0.003       0.051       0.000       0.014      27.840        0.02       3909.    0.1822
        4.47      0.9435      0.5300      0.1569      0.2793       0.000       0.004       0.003       0.052       0.001       0.014      27.061        0.02       3953.    0.1775
        4.84      1.0221      0.5566      0.1572      0.2887       0.000       0.005       0.003       0.054       0.001       0.014      26.235        0.02       3999.    0.1723
        5.21      1.1007      0.5799      0.1568      0.2977       0.000       0.005       0.003       0.056       0.001       0.014      25.381        0.02       4048.    0.1665
        5.58      1.1794      0.6002      0.1555      0.3055       0.000       0.005       0.003       0.057       0.001       0.014      24.518        0.02       4101.    0.1601
        5.96      1.2580      0.6179      0.1529      0.3112       0.000       0.005       0.003       0.058       0.001       0.014      23.662        0.02       4156.    0.1532
        6.33      1.3366      0.6333      0.1488      0.3141       0.000       0.005       0.003       0.059       0.001       0.013      22.826        0.02       4214.    0.1458
        6.70      1.4152      0.6466      0.1432      0.3135       0.000       0.005       0.003       0.059       0.001       0.013      22.011        0.02       4275.    0.1380
        7.07      1.4938      0.6576      0.1361      0.3091       0.000       0.005       0.003       0.058       0.001       0.012      21.207        0.02       4338.    0.1296
        7.45      1.5725      0.6656      0.1275      0.3011       0.000       0.005       0.003       0.056       0.001       0.011      20.392        0.02       4404.    0.1206
        7.82      1.6511      0.6695      0.1176      0.2901       0.000       0.005       0.002       0.054       0.001       0.010      19.535        0.02       4473.    0.1110
        8.19      1.7297      0.6678      0.1067      0.2763       0.000       0.004       0.002       0.052       0.000       0.009      18.600        0.02       4543.    0.1006
        8.56      1.8083      0.6587      0.0948      0.2602       0.000       0.004       0.002       0.049       0.000       0.008      17.549        0.02       4615.    0.0895
        8.93      1.8870      0.6397      0.0821      0.2423       0.000       0.004       0.002       0.045       0.000       0.007      16.331        0.02       4690.    0.0775
        9.31      1.9656      0.6072      0.0688      0.2227       0.000       0.004       0.001       0.042       0.000       0.006      14.883        0.02       4766.    0.0647
        9.68      2.0442      0.5566      0.0550      0.2018       0.000       0.003       0.001       0.038       0.000       0.005      13.116        0.02       4843.    0.0509
       10.05      2.1228      0.4801      0.0407      0.1798       0.000       0.003       0.001       0.034       0.000       0.004      10.896        0.02       4923.    0.0364
       10.42      2.2015      0.3660      0.0261      0.1568       0.000       0.002       0.001       0.029       0.000       0.002       8.008        0.02       5004.    0.0214
       10.80      2.2801      0.1932      0.0113      0.1331       0.000       0.002       0.000       0.025       0.000       0.001       4.082        0.02       5086.    0.0072



         PROP RPM =       2000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
